workYear,createTime,salary,education,city,positionName,search_name,positionId,work_duty,work_requirement
1-3年,2018-09-29 13:28:26,10k-18k,大专,上海,前端开发工程师,前端工程师,3743884,完成web应用其中的新增功能需求开发与迭代优化，包括界面和交互功能的设计 重构/解决不同移动设备上的兼容问题/参与公司前端组件的开发工作/与团队其他人员进行交流，分析并给出合理的解决方案/,"-年web前端开发经验/熟练掌握Web前端技术CSS/HTML/Javascript，有html/css开发经验，熟悉ES/熟悉常用Web前端框架(jQuery, React)，有React框架实际项目开发经验/熟悉基本的计算机网络概念，熟悉HTTP协议，了解TCP/IP的基本工作原理，熟悉各种Web标准规范/学习能力强，责任心强，对技术有热情和追求/乐观，积极，开放，良好的沟通及团队协作精神，你不是一个人在战斗/"
5-10年,2018-09-30 06:16:44,30k-35k,本科,杭州,前端开发,前端工程师,5081060,负责前端相关业务的架构设计及开发/参与并主导基础平台的设计及开发工作/参与团队技术选型和新技术研究，负责相关基础框架的研究 设计开发及推广工作/, 精通H，代码思路结构清晰 风格良好，书写语义合理/ 熟悉web前端的主流技术框架/ 善于利用各类工具提升工作效率/ 能够写出高性能 可复用的前端组件/ 熟悉Nodejs，服务器端开发技术，熟悉HTTP协议以及浏览器缓存策略/ 沟通能力强，责任心强，思维逻辑性强/
3-5年,2018-09-30 09:21:28,20k-40k,本科,北京,前端工程师,前端工程师,4808037,,
1-3年,2018-09-30 09:33:41,10k-15k,本科,上海,前端开发工程师,前端工程师,4876547,负责公司相关产品的前端页面开发/负责微信公众号 微信小程序的前端功能开发/持续的优化前端体验 页面响应速度和浏览器兼容性等/参与前端基础建设工作，包括新技术的调研 标准组件/工具的设计与开发等/,精通HTML CSS和JavaScript语言，掌握HTTP及相关网络协议，熟悉跨终端 跨浏览器的开发模式和平台特性/熟悉模块化 前端编译和构建工具，熟练运用主流的移动端JS库和开发框架/熟练解决各种移动端的兼容性问题/ 微信公众号和小程序经验者优先/本科以上学历，年以上工作经验，具有较强的学习能力和解决问题能力/做事积极主动，责任心强，具有较好的团队合作意识/
3-5年,2018-09-30 09:42:58,10k-20k,本科,深圳,前端工程师,前端工程师,3976394," 负责 pc web, mobile web 的前端开发/ 主导前端技术选型和前端整体架构/ 上能撸起袖子敲代码，下能指导新人/"," 本科及以上学历，年及以上前端开发工作经验，有管理后台系统的相关开发经验(PS这很重要，很重要，真的很重要)/ 玩转 JavaScript，HTML，CSS 等前端通用技术/ 熟练使用 vue, element, bootstrap 等框架，并有实际的项目经验/ 善于沟通主动思考，我们不需要只会实现需求文档的体力工程师/ 活跃于Github等同性交友社区 或长期维护技术博客/ 熟悉 Nodejs，有前后端分离协作开发的经验/ 工作之外，有自己擅长的技艺，是一个有趣的人/"
5-10年,2018-09-28 10:24:40,17k-25k,本科,上海,前端开发工程师,前端工程师,4677739,,
3-5年,2018-09-29 09:03:02,12k-18k,本科,上海,前端开发工程师,前端工程师,4517178,负责公司WEB H相关产品的分析设计 开发实现和持续改善 参与产品分析和规划，完善和优化开发过程    /研究和实践相关技术及实现原理    /,"统招本科及以上学历，年以上web前端开发经验    /具有扎实的编程功底，良好的设计能力和编程习惯    /熟练运用JavaScript及HTML CSS等语言    /熟练掌握主流的前端开发框架之一(如React Angular Vue等)， 熟练使用webpack打包工具   /熟悉前端代码的模块化,以及熟练掌握和运用前端编译和构建工具，熟练运用主流的JS库和开发框架，并理解其设计原理 /良好的代码风格，对技术有强烈的进取心，具有良好的沟通能力和团队合作精神 优秀的分析问题和解决问题的能力   熟悉小程序开发，有实践经验优先    /"
3-5年,2018-09-29 09:43:54,18k-28k,本科,北京,前端工程师,前端工程师,4905884, 负责Web端产品的前端设计 开发/ 从视觉和易用性角度，为产品设计提供改进建议，为产品页面提供持续优化方案/, 年以上实际开发经验，精通XHTML /HTML/CSS，能编写符合WC标准 兼容主流浏览器的代码/ javascript基础扎实，了解ECMAScript，CommonJS，ES等相关技术标准/ 熟练掌握Web以及Mobile Web开发相关技术/ 熟练使用React/Vue等至少一种前端MVVM框架，并了解其相关技术栈/ 具有前端工程 模块化 组件化的经验者优先/ 熟练使用至少一种前端构建工具如：Webpack  Grunt Gulp等优先/ 了解至少一门后端语言如：Node Python PHP Java等优先/
3-5年,2018-09-29 17:28:25,12k-13k,本科,北京,前端开发工程师,前端工程师,4984729,负责前端页面的开发/负责前端主体模块的开发，负责前后端的联调工作/能够准确理解需求，负责前端页面的交付/,"年及以上的web前端开发经验，本科及以上学历，计算机相关专业/熟练使用HTML，JavaScript, CSS/熟练使用Ajax,熟悉AngularJS, Jquery等开源框架，熟悉Json/精通模块化开发，掌握简短调试技术级性能调优技术/熟悉面向对象分析 设计 开发能力熟悉 MVC/MVVM模式和常用的设计模式/能够解决浏览器兼容问题，屏幕自适应问题/熟悉ES，ES标准，并可以使用其编程/有较好的沟通能力，团队协作能力，解决问题和创新精神/"
3-5年,2018-09-30 09:41:26,15k-20k,大专,杭州,前端开发,前端工程师,5124740,"熟练掌握web前端开发以及移动端H开发 有互联网电商行业前端开发经验优先/熟练运用JavaScript语言与HTML CSS，ajax,jquery,amaze UI框架等技术 熟悉移动端Web绘图相关高级特性, 如canvas, webGL, CSS动画效果等 /熟悉模块化 前端编译和构建工具，熟练运用主流的移动端JS库和开发框架 /对技术有强烈的进取心，具有良好的沟通能力和团队合作精神 优秀的分析问题和解决问题的能力/",
3-5年,2018-09-28 11:31:29,20k-30k,本科,上海,前端开发工程师,前端工程师,4303025,依需求构建应用程序，进行单元测试 集成测试和脚本部署/为UI/UX团队提供功能接口，实现浏览器兼容等性能，参与团队软件开发/适应快节奏 灵活的工作环境，有上进心，能独立工作/,"年网站开发经验，计算机本科学位或同等学历/熟练HTML CSS JavaScript和前沿前端知识/熟悉响应式设计，媒体查询和移动CSS框架，如Twitter Bootstrap/熟悉AngularJS等框架，全面掌握HTML/CSS，专注细节，完美的布局和交互的积极练习/能够适应在包含Nodejs, CSS pre-processors ie,SASS/LESS,和source control systems ie,Git的开发环境中工作/"
3-5年,2018-09-29 09:12:12,12k-24k,本科,上海,前端开发,前端工程师,4925548, 负责公司产品前端代码开发 页面重构以及交互设计逻辑处理/ 负责公共组件的开发及对新技术的调研应用/ 利用HTML等相关技术开发跨平台前端页面，良好兼容Android和IOS设备/ 能够承担前端框架建设与组件封装，并不断优化前端工具组件库/ 持续优化前端开发模式和规范/,精通Ajax DOM JSON等相关技术，熟练使用原生JS编程/精通html css等网页制作技术，熟悉页面架构和布局/有一年以上Vue框架工作经验，至少熟练掌握一门（Hybrid React Angular Vue等）及相关框架和技术/熟悉nodejs，熟练掌握 ES  Typescript Gulp  Webpack 等规范和技术/ 熟悉WC标准，对表现与数据分离 Web语义化有较为深刻理解/ 熟悉页面性能的优化，浏览器开发调试工具， 熟练解决各种浏览器兼容问题/有带小组经验者更佳/
3-5年,2018-09-29 18:56:41,15K-25K,本科,南京,前端开发工程师,前端工程师,3773106,带薪天年假/人性化管理，扁平化组织架构/完善的社保及公积金/具有竞争力的薪资/人性化的工作氛围，享受法定的节假日/灵活的工作时间安排，可以远程在家开发/标配MBP '/,"本科及本科以上学历，有大型网站前端架构 前端性能 可访问性 可维护性，前端组件化等方面的实践经验/精通各种Web前端技术（HTML()/CSS()/Javascript等)，熟悉跨浏览器的开发,  并有良好的编码习惯/能够根据需求，分析并给出最优的前端技术解决方案/具有良好的沟通能力，跨团队协作能力，并能够按工作计划安排完成任务/有前端规范意识，熟悉bootstrap框架，了解bootstrap的react, angular版本并会使用/熟悉Ruby(Rails), Node, Python(Django)等任意一门或多门服务端语言者优先， 具有RESTFul思想/熟悉Angular(, , ), React, Vue全家桶等任意一门或多门框架或库, 并有实战经验/熟悉Express框架及周边库, 并有实战经验/熟悉Git, Github，熟悉敏捷开发基本方式/ 熟悉常用构建工具: Webpack, gulp, NPM, 了解ES, Promise, SASS, LESS, PostCSS优先/ 熟悉前端可视化库Djs以及如何结合Angular, React/ 熟悉CI, 了解Integration, Function, Unit, End-to-End Test 等/ 具有一定解决问题能力，对新事物敏感并能够快速了解，学习能力强/  三年以上的前端开发工作经验/  英语熟练，能够读写/"
1-3年,2018-09-30 08:51:56,13k-26k,大专,杭州,前端开发,前端工程师,4932829, 年以上开发经验，大专以上学历，计算机相关专业优先  精通react+ redux或vue技术栈，了解其原理 /至少用reactjs框架做过三个以上大型项目，或有至少年以上VUE前端开发框架使用经验经验，对模块化和组件有相关的见解 /精通前端构建工具基本用法（wepack gulp grunt） /精通CSS预处理（less） HTML模板的语法(handleabrs) /,
3-5年,2018-09-29 15:11:59,25k-35k,本科,北京,前端开发工程师,前端工程师,4129944,负责 mobile 混生APP 小程序的技术选型 研发 测试 部署 调优/与设计 产品同事沟通，保证产品的质量和推进项目进度/持续优化相关产品的质量 性能 用户体验/,统招本科及以上学历，/类理工科高校计算机相关专业优先/年以上前端开发相关工作经验，对前沿的 Web 技术有强烈的兴趣/熟悉React Vue Webpack等相关技术栈，能够独立封装组件，并有相关实际项目开发经验/熟练运用 JavaScript 语言与 HTML CSS 等技术/熟练运用至少一款主流的 JS 框架，并理解其设计原理/熟悉模块化 前端编译和构建工具/了解移动互联网团队技术开发流程，熟练使用 git 工具进行代码管理/责任心强，能够承受一定的工作压力/
1-3年,2018-09-29 16:18:17,5k-10k,不限,长沙,前端工程师,前端工程师,817216,负责公司其他需要美工表现的工作/能很好的实现设计的前端效果（处女座情节者优先）/,有BC网站设计制作一到二年以上工作经验，对移动端UI有一定的了解/较强的网页效果实现能力/熟练使用PHOTOSHOP，DREAMWEAVER等设计软件/了解HTML javascript CSS等网页设计语言规范/精通网页版面设计与网页制作 平面设计，独立完成整个网站项目的前端实现/熟悉互联网产品的特性，对用户体验和交互设计有较深的理解　　/具有良好的学习能力，能够及时掌握最新前沿技术及流行趋势/
3-5年,2018-09-30 09:18:52,10k-15k,本科,上海,前端开发上海,前端工程师,4911780,开发酷炫 具有创新交互体验的金融网站，向投资者用户提供最佳投资 理财的Web应用服务 /不断研究 挖掘 采用各种最新 最好的前端开发框架，改良开发流程，整理最佳实践 /与UIUE设计人员 服务器端工程师紧密配合基于自己对UIUE的开发经验与理解，对设计师和美工提出建设性意见 任职要求： /,两年及以上互联网行业工作经验，计算机及相关专业本科以上学历 /精通JS(ES)/HTML()/CSS()等前端技术，具有丰富的页面性能 浏览器兼容性实践经验 /熟练运用主流的JS开发框架，深入理解其设计原理，如：jQuery Zepto Angular Vue React等 /熟悉一种或多种后端开发语言，如：NodeJS/Java/Python等 /对技术有强烈的进取心，具有良好的沟通能力和团队合作精神 优秀的分析问题和解决问题的能力/
3-5年,2018-09-28 09:51:23,10k-20k,本科,重庆,前端开发工程师,前端工程师,4930865, 精通各种 Web 前端技术（HTML/CSS/Javascript 等），熟悉http 协议/ 熟悉 MVVM 框架， Vue， AngularJS， React 中一种或几种，有项目成功案例/ 熟悉 Webpack， Gulp， Grunt 中一种或几种，具有良好的工程化管理经验/ 具有良好的代码风格 接口设计与程序架构/ 熟悉 Web 网页标准，对 HTML 语义化 网站性能优化 交互设计 用户体验有深刻理解/ 对常见的 web 性能问题 安全问题有一定了解，有创新精神并能付诸实施，能积极学习业界新技术/ 具有高度的责任心，具备良好的沟通能力和团队协作精神/ ~ 年前台开发工作经验   /,
3-5年,2018-09-28 13:27:11,30k-45k,本科,上海,前端开发工程师,前端工程师,3931978,,
1-3年,2018-09-28 19:00:00,15k-25k,大专,杭州,前端开发工程师,前端工程师,4652954,参与公司产品的设计和开发，负责前端功能的开发和优化/负责推荐前端系统架构的演化/研究和探索前沿的前端技术，应用到团队与产品中/,大专及以上学历，年以上前端开发经验 /精通HTML CSS JavaScript，了解 HTTP 协议以及浏览器原理/掌握angular vue react jquery等至少一种框架/重视团队协作，善于沟通交流，乐于分享及共同探讨前端技术/
1-3年,2018-09-28 19:11:27,8k-10k,本科,广州,前端开发工程师,前端工程师,4823265, 负责数字化平台的web/webApp前端的开发和维护工作/ 能够独立完成搭建平台架构 设计及编码 进行代码调试/ 与后端工程师配合完成相关开发工作/ 能根据业务需求高质量高速度完成交互设计工作/ 配合完成移动APP相关业务开发/, 本科及以上学历，计算机相关专业年以上工作经验/ 熟悉前端mvc框架， 具有HTML CSS Jquery Ajax等主流前端开发经验，熟悉各种浏览器的兼容性调试技术/ 熟练掌握至少一个主流前端框架Angular Vue React等，并了解其核心原理，能独立开发常用组件/ 有后端开发经验优先/ 有微信小程序实际开发经验优先/
1-3年,2018-09-29 09:20:20,12k-24k,本科,杭州,前端工程师,前端工程师,3013583,参与公司核心产品前端工程架构 设计 开发，撰写相关技术文档 /负责系统框架和核心业务代码的实现 /参与制定设计及实现规范，软件部署工作/协助持续改进软件系统架构 核心算法或者核心技术模块等，使产品在高性能和高可用性方面发挥作用/,本科及以上学历，计算机相关专业，年以上Web前端开发经验/了解Web前端技术（HTML/CSS/Javascript等)，熟悉主流框架 类库的设计和实现，熟练跨浏览器兼容与开发/熟悉模块化 前端编译和构建工具，熟练运用主流的移动端JS库和开发框架，并深入理解其设计原理，例如：ReactJS VueJS等  /熟练使用一门后端语言（PHP/NodeJS/Java/Python等），对前后端合作模式有深入理解并有项目经验（熟悉NodeJS者优先）/热爱前端，有良好的产品意识，对新鲜事物充满好奇心，团队合作良好/对用户体验，用户研究等相关知识有一定了解和实践经验者优先/
不限,2018-09-29 09:32:41,8k-15k,大专,上海,前端开发工程师,前端工程师,4644602, 负责PC 移动端网页的前端开发/ 内部工具与UI组件/," 熟悉Web 标准，熟悉HTML, CSS, JavaScript前端技术/ 熟悉HTTP, Websocket等网络协议/ 了解React，前端工程化或者 Nodejs 等技术有研究/ 认真负责，积极主动，有良好的团队合作意识/"
1-3年,2018-09-30 09:05:28,7k-14k,本科,南京,前端开发工程师,前端工程师,2733767,静态 动态Web App开发/保质保量的完成工作分配下来的前端开发工作/参与前端团队的开发讨论，制定详细的解决方案/学习新技术解决现有问题/, 计算机及相关专业/ 熟练掌握JavaScript Ajax CSS HTML等web前端开发领域相关技术/ 熟悉jQuery等主流的JS库，了解类似react vue anglular框架中的一种/ 熟练响应式设计 页面架构和基础布局，掌握bootstrap类似框架应用，/ 知道浏览器的工作方式和处理兼容问题，了解http协议/ 英文技术文档阅读能力较好/ 喜欢钻研新技术 善于解决疑难杂症 有良好编码习惯/ 工作主动积极，对任务不推诿，正直乐观，不抗拒与客户沟通/ 具备的能力：团队合作能力 创新及创造能力 独立思维能力 独立学习能力 抗压能力等/
1-3年,2018-09-30 09:17:00,10k-15k,本科,杭州,前端开发工程师,前端工程师,4796353,参与公司前端项目的开发工作/负责前端性能问题改进，实施技术攻坚/协调项目其他成员完成开发及调试工作/,计算机及相关专业，本科以上学历/有年以上前端开发工作经验/精通HTML和JavaScript，熟悉Nodejs/精通Reactjs，了解React核心思想，分析过React源码者优先/熟练使用less或者sass，熟练处理主流浏览器的兼容性问题/精通ES语法进行开发/熟悉Bootstrap React Native Vue等框架/良好的沟通及协作能力/熟悉Fabricjs项目和Canvas编程者优先/ 对webkit内核性能和特性有一定了解者优先/
1-3年,2018-09-30 08:32:17,10k-20k,大专,杭州,前端开发,前端工程师,5142680,大专以上学历，年以上WEB前端开发经验/熟练使用VUE框架，精通各种前端技术，包括HTML/CSS/JavaScript/NodeJS等/对前端技术有持续的热情，个性乐观开朗，逻辑性强，善于和各种背景的人合作/,
3-5年,2018-09-25 11:30:27,25k-35k,本科,上海,前端开发工程师,前端工程师,5029122,参与产品需求 研发设计的相关讨论，从前端设计角度提升产品使用性和美观度的要求/负责产品的前端开发工作，实现产品所需的交互效果/与后台技术开发保持良好沟通，完成具体的开发工作/,"年以上的前端开发经验，有上线的成品展示/熟练掌握HTML,CSS，理解html标签语义 熟练使用css样式，对盒模型有深入了解，精通flex布局及相关样式兼容性/熟练掌握vuejs/vue-router/vuex技术栈开发和webpack构建工具的使用并有实际项目开发经验/熟悉小程序规则 开发流程 API等，有成功上线产品/熟练运用JavaScript，对JavaScript的作用域 闭包 ES新语法 前端模块化 组件化等有深入理解/熟悉nodeJs，有前端编译 部署打包等相关工作经验，熟悉SVN常用操作命令/与后端接口对接，对接口入参和出参有一定把握能力，并熟练使用axios对接口数据调用/有强烈的求知欲，对新技术的学习及测试案例，并在项目中尝试/有较强的沟通理解能力和逻辑思维能力 技术视野广阔，能够独立承担项目开发工作/ 有个人独立作品/开源作品者优先有个人技术博客或在各技术社区活跃者优先/"
1-3年,2018-09-30 09:04:48,10k-20k,本科,武汉,前端开发工程师,前端工程师,3372399,参与微信 小程序开发 在线商城的前端开发/根据产品需求完成高质量的Web前端开发和维护/负责Web性能优化 体验优化，改善用户体验/负责改进开发流程 持续构建流程 发布流程/,"扎实的计算机以及网络基础/手写HTML/CSS,原生JavaScript能力/对语义化HTML，CSS盒模型，渐进增强，响应式设计等有的深入理解/熟悉并掌握主流的前端开发框架（Vuejs）及主流前端开发流程等经验加分/一颗好奇心，有强烈的愿望持续提升自我和整个团队/"
5-10年,2018-09-30 09:44:51,18k-25k,本科,北京,前端工程师,前端工程师,4842842," 年以上前端开发经验/ 熟练使用html,css，熟悉html/css/ 熟悉原生javascript/ 熟悉nodejs 对前端常用工具webpack gulp等能熟练应用，并有实践经验/ 熟悉es es规范，并有实践经验/ 对前端优化有一定的经验/ 熟悉web标准，能够开发web组件，对html语义化有深刻理解/ 有过任意一种流行前端框架的经验，使用过vue为佳，包括但不限于React Angular ReactNative等/ 对前后端分离有基本的理解与运用/",
1-3年,2018-09-30 09:54:04,8k-9k,本科,广州,前端开发,前端工程师,5183079,负责业务渠道商务管理系统开发维护工作/协助各类业务支持系统维护优化/,计算机相关专业本科以上/熟练掌握python，了解至少一种常见python框架/熟悉html css jquery，理解ajax原理/熟悉mysql关系型数据库，了解数据库调优基本/认真严谨/有企业产品相关业务系统开发维护工作经验优先/
3-5年,2018-09-27 11:45:28,25k-50k,本科,上海,前端工程师,前端工程师,4848782," 全日制大学毕业，获得计算机/数学/物理及其他相关专业本科以上学历/ +年科技行业从业经验，至少两年Web前端开发经验/ 较强的团队协作能力/ 熟悉前端相关规范，响应式设计及移动适配/ 熟练掌握JavaScript/HTML/CSS 以及相应的开发框架如 Vue/React和构建系统（npm,，Gulp，Webpack等）/ 了解敏捷软件开发，熟练使用常见团队协作软件及代码管理，审核，测试工具/", 较强的沟通能力，流利的英语读写能力/ 区块链及加密货币行业相关经历/ 互联网数字广告行业相关经历/ 对UI和UX有比较深刻理解和经验/
3-5年,2018-09-27 15:28:12,10k-20k,本科,苏州,前端开发工程师,前端工程师,4647437,负责产品前端设计和代码实现/积极调研新技术，随时准备用于产品 /优化现有产品的功能和体验细节 /,"精通 css/js，年以上项目经验/熟悉主流 js 框架和库，熟悉 jquery 优先 /了解 linux 系统常规操作 /了解代码版本管理工具，熟悉 git 优先                                                /使用过服务器端开发语言，如php,python,perl等优先 /对行业新技术有浓厚的兴趣，并积极合理的将其引入项目/具有良好团队合作精神，有高度的责任心，能带领项目组完成整体工作/"
3-5年,2018-09-28 11:05:46,20k-35k,本科,北京,前端开发工程师,前端工程师,4938194, 负责移动端Web页面的开发工作负责应用后台页面开发，实现交互需求以及后端服务对接/ 熟悉前端架构体系和性能优化，对前端架构体系的规划和建设有自己的见解/ 熟悉前端开发和发布流程，并结合实际建立提升效率的工具/ 充分理解产品业务，提升前端用户体验/ 关注前端前沿技术，通过新技术服务团队和业务/, 计算机相关专业大学本科以及以上学历/ 年以上前端开发工作经验，精通前端技术，包括HTML/CSS/JavaScriptjs等/ 熟练掌握AngularJS React vue等主流框架，并理解其核心原理，能独立开发常用组件/ 熟悉Webpack/rollup/gulp/eslint等前端构建工具/ 有一定后端开发经验，对于http协议有一定了解，理解客户端和服务端的通信机制/ 良好的学习能力和热情，具备较强的沟通协调能力，良好的职业素养和团队合作精神，对工作认真负责/
1-3年,2018-09-29 10:51:43,10k-20k,本科,北京,前端开发工程师,前端工程师,3813903,,
3-5年,2018-09-29 21:36:38,20k-40k,本科,北京,前端开发工程师(J171117019),前端工程师,4475806,,
3-5年,2018-09-30 09:15:14,9k-16k,本科,上海,前端开发工程师,前端工程师,4617443,根据产品设计的要求，开发相应的前端模块功能/负责web前端的性能优化，保证系统高效稳定运行/负责参与前端框架设计/使用chrome浏览器进行编码调试，无需兼容低版本IE/,本科及以上学历，计算机专业，年以上相关工作经验/熟悉响应式编程，HTML，RESTFul等/深入了解HTML CSS JavaScript等Web前端开发技术，精通Web标准，精通至少下列一项前端框架：Angular，Vue，React/具有响应式设计经验，有移动Web设计实践/至少了解一门非前端语言（如NodeJS Python等）/对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力，沟通技能，团队合作能力/
3-5年,2018-09-30 09:18:52,10k-15k,本科,上海,前端开发-上海,前端工程师,4911752, 负责公司产品页面的性能和体验优化 / 负责现有产品的持续改进 / 学习能力强，沟通能力强，思维逻辑性强/,
3-5年,2018-09-30 09:40:47,9k-15k,本科,大连,前端开发工程师,前端工程师,4314031,,
1-3年,2018-09-28 09:58:46,9k-18k,大专,上海,前端开发工程师,前端工程师,3944522,大专或以上学历/年以上前端开发经验/精通HTML/CSS/Javascript等前端技术，能轻松写出符合WC标准 兼容主流浏览器的代码/熟悉主流js框架，jquery或者对js语言掌握较深/了理解表现与数据分离 Web语义化，有前端性能优化者优先/熟练使用DW，PS等网页制作及图片处理工具/成功开发过Web应用程序，良好的UI交互实现能力/,
3-5年,2018-09-29 15:29:49,13k-16k,大专,上海,前端工程师,前端工程师,4339343,系统前端研发，根据需求完成指定模块 业务 逻辑的开发任务，保证功能可靠    /从事PC前端开发    /开发与人人美剧网站相关的工具 模块    /,专科及以上学历    /熟练微信小程序开发者优先/三年以上计算机前端代码编写 分析经验热爱前端开发，喜欢深入研究    /能独立使用AngularJS完成前端项目    /   对javascript原生较为精通 熟悉jquery常用操作    /   熟悉NodeJS requirejs vuejs等    /   能够使用glup webpack等完成打包    /   了解前端性能优化 对H新API有所了解    /良好的沟通能力，能够有效工作较好的学习能力，掌握新知识    /有具体上线项目经验者优先    /
1-3年,2018-09-29 10:21:37,10k-20k,本科,上海,前端开发,前端工程师,4257889,配合产品经理和设计师实现一流的前端界面，优化代码并保持良好兼容性/持续改进当前产品的前端功能，优化性能，改善访问体验/配合市场和运营，更好的推广 优化产品/,精通HTML/CSS/JavaScript ES，熟练使用ES/熟练使用ES模块 CommonJS模块/熟练使用Webpack Gulp等打包工具/熟悉各种前端框架，Vue React等/拥有团队合作精神，深知团队合作的重要性/对前端设计极度热爱，喜欢研究前瞻性技术/有Nodejs Cordova Electron开发经验优先/有Github个人项目优先（简历请附带Github个人主页地址）/
3-5年,2018-09-28 11:31:28,20k-30k,不限,上海,高级前端工程师(安链云）,前端工程师,3432637,和数据科学家 设计师 产品_共同工作，探索可视化在金融业务场景的技术方案和产品应用/开发展示为主的数据大屏和业务分析为主的数据产品/负责数据产品/可视化大屏的前端架构和应用后台_及通用组件的开发/,本科及以上学历，功底扎实，视野开阔，对新技术具有敏感和热情/工程能力强，有较复杂的 WebApp 类型产品前端开发经验/技术跟随前沿，希望属于Node/Gulp/Redux/React的生态圈/有数据分析场景/有数据可视化经验者(Djs/ECharts)优先/熟悉-种分析型数据库(如Neoj/PostgresSQL/PostGIS)者优先/接受优秀应届研究生，课余时间充裕，可提前实习者优先/
3-5年,2018-09-28 15:48:21,10k-15k,本科,南京,前端工程师,前端工程师,5057814,负责员圈 圈立方等APP原生功能开发/负责员圈 圈立方等项目的维护 升级 开发/负责为React Native 项目提供原生支持/负责IM项目的移动侧功能开发/,本科以及以上学历，年以上Android/ios开发经验/具备扎实的JAVA或OBJECTIVE-C编程基础，良好的编程基础/精通Android或ios 应用开发 同时熟悉两者优先/熟悉Android/ios的UI/网络/多线程开发，熟悉常用的开源框架/熟悉Hybrid开发（H/React Native）等技术原理者有限/善于交流和表达，有良好的团队合作精神/
1-3年,2018-09-29 10:01:33,8k-16k,不限,上海,前端开发工程师,前端工程师,2756294, 负责公司互联网类应用开发的前端开发/ 负责公共平台类（例如：微信）产品的前端开发/ 负责混合开发类产品的前端开发/," 年以上Web应用开发/ 精通HTML/CSS/Javascript/ajax/jQuery的开发/ 具备VUE RequireJS 开发经验/ 工作主动, 学习能力强, 具备专业的工作态度/"
1-3年,2018-09-29 10:04:28,15k-25k,本科,深圳,前端开发工程师,前端工程师,1642766,,
1-3年,2018-09-30 09:21:09,8K-11K,大专,南京,前端开发工程师,前端工程师,5157825,根据需要进行WEB前端界面的设计和开发工作/和UI人员密切配合，能熟练切图，完成页面制作/参与公司产品WEB/APP等视觉和交互设计，切图，页面制作/制作HTML CSS JavaScript代码， 配合后台程序开发并负责兼容性测试与调整/实现交互效果的，改善用户体验，改善产品的易用性/设计产品原型，协助开发团队理解和掌握需求/,至少二年以上前端开发工作经验，有大型网站开发，移动前端开发，有VUE nodjs经验优先/精通HTML+DIV+CSS HTML+css框架布局和页面制作/熟悉WAP WEB网站设计流程，精通对各种浏览器的良好兼容性/熟悉JavaScript语言，了解JQuery，AJAX脚本技术，有实际页面制作经验/熟悉JQueryMobile Bootstrap extjs或easyui等前端样式/熟悉Axure或其他原型设计软件/
